age_group,proficiency_level,event_name,topic,difficulty_level,content_type,question,correct_answer,is_correct,response_time_sec,hint_used,attempts,next_recommended_difficulty
Child,Intermediate,American Revolution,Revolution,Hard,Quiz,Explain the impact of American Revolution (ID-663),1914,1,21,No,3,Hard
Child,Intermediate,World War II,War,Hard,Quiz,What role did leadership play in World War II? (ID-1425),1776,0,27,No,3,Medium
Child,Beginner,Roman Empire,Politics,Hard,Simulation,What caused Roman Empire? (ID-383),strategic decision,0,8,No,2,Medium
Child,Advanced,World War I,War,Hard,Challenge,Why is World War I important? (ID-718),historical explanation,1,9,No,1,Hard
Adult,Beginner,French Revolution,Revolution,Easy,Challenge,Describe key events of French Revolution (ID-212),historical explanation,0,16,Yes,3,Easy
Teen,Intermediate,World War I,War,Hard,Simulation,Explain the impact of World War I (ID-295),strategic decision,0,37,Yes,1,Medium
Teen,Advanced,Industrial Revolution,Culture,Medium,Challenge,Explain the impact of Industrial Revolution (ID-1446),historical explanation,1,26,No,1,Hard
Teen,Intermediate,Cold War,Politics,Medium,Simulation,What caused Cold War? (ID-1428),strategic decision,0,34,Yes,1,Easy
Child,Beginner,Industrial Revolution,Culture,Easy,Quiz,Explain the impact of Industrial Revolution (ID-636),1776,0,26,No,3,Easy
Adult,Advanced,Industrial Revolution,Culture,Medium,Quiz,Explain the impact of Industrial Revolution (ID-389),1939,1,19,Yes,1,Hard
Child,Intermediate,Cold War,Politics,Medium,Quiz,Explain the impact of Cold War (ID-1450),1939,0,8,Yes,2,Easy
Adult,Advanced,World War II,War,Hard,Simulation,Explain the impact of World War II (ID-1416),strategic decision,1,10,Yes,1,Hard
Teen,Advanced,Roman Empire,Politics,Hard,Challenge,What role did leadership play in Roman Empire? (ID-811),historical explanation,0,12,Yes,2,Medium
Child,Advanced,Cold War,Politics,Medium,Simulation,Explain the impact of Cold War (ID-1243),strategic decision,1,5,No,3,Hard
Teen,Advanced,Industrial Revolution,Culture,Easy,Simulation,Describe key events of Industrial Revolution (ID-730),strategic decision,0,5,Yes,3,Easy
Child,Intermediate,Cold War,Politics,Easy,Quiz,What were the consequences of Cold War? (ID-1183),1914,1,36,Yes,3,Medium
Child,Intermediate,Roman Empire,Politics,Medium,Simulation,Why is Roman Empire important? (ID-101),strategic decision,0,21,Yes,2,Easy
Adult,Intermediate,Indus Valley Civilization,Culture,Easy,Quiz,Why is Indus Valley Civilization important? (ID-1064),1776,1,30,Yes,2,Medium
Teen,Intermediate,Industrial Revolution,Culture,Medium,Simulation,When did Industrial Revolution begin? (ID-680),strategic decision,1,30,Yes,1,Hard
Teen,Beginner,Ancient Egypt,Culture,Medium,Challenge,What was the outcome of Ancient Egypt? (ID-1396),historical explanation,0,33,No,1,Easy
Adult,Intermediate,World War I,War,Easy,Challenge,When did World War I begin? (ID-1367),historical explanation,1,5,No,3,Medium
Teen,Advanced,American Revolution,Revolution,Easy,Quiz,Describe key events of American Revolution (ID-1086),1945,1,18,No,2,Medium
Adult,Beginner,Industrial Revolution,Culture,Medium,Quiz,Describe key events of Industrial Revolution (ID-473),1776,0,40,Yes,3,Easy
Adult,Advanced,World War I,War,Medium,Simulation,Explain the impact of World War I (ID-807),strategic decision,0,26,Yes,3,Easy
Child,Advanced,French Revolution,Revolution,Medium,Challenge,When did French Revolution begin? (ID-527),historical explanation,1,8,Yes,1,Hard
Child,Advanced,Industrial Revolution,Culture,Hard,Challenge,Who were key figures in Industrial Revolution? (ID-480),historical explanation,1,28,Yes,2,Hard
Adult,Beginner,Industrial Revolution,Culture,Hard,Quiz,What role did leadership play in Industrial Revolution? (ID-1124),1789,0,12,Yes,1,Medium
Adult,Intermediate,World War I,War,Easy,Quiz,Why is World War I important? (ID-1091),1939,1,25,Yes,3,Medium
Child,Intermediate,American Revolution,Revolution,Hard,Simulation,What was the outcome of American Revolution? (ID-943),strategic decision,1,29,Yes,2,Hard
Teen,Beginner,Indus Valley Civilization,Culture,Hard,Simulation,Who were key figures in Indus Valley Civilization? (ID-738),strategic decision,0,29,Yes,2,Medium
Teen,Intermediate,World War II,War,Easy,Simulation,What were the consequences of World War II? (ID-376),strategic decision,1,22,Yes,3,Medium
Child,Beginner,World War I,War,Easy,Quiz,Who were key figures in World War I? (ID-1331),1789,0,36,Yes,2,Easy
Child,Advanced,Industrial Revolution,Culture,Medium,Quiz,What role did leadership play in Industrial Revolution? (ID-583),1776,1,21,Yes,3,Hard
Adult,Advanced,Ancient Egypt,Culture,Medium,Quiz,How did Ancient Egypt influence society? (ID-1352),1776,1,32,Yes,2,Hard
Adult,Beginner,Indus Valley Civilization,Culture,Hard,Quiz,Who were key figures in Indus Valley Civilization? (ID-60),1914,0,6,No,1,Medium
Child,Beginner,World War I,War,Hard,Simulation,What caused World War I? (ID-784),strategic decision,0,19,Yes,1,Medium
Child,Beginner,Ancient Egypt,Culture,Medium,Simulation,Who were key figures in Ancient Egypt? (ID-149),strategic decision,0,6,Yes,3,Easy
Child,Beginner,Indus Valley Civilization,Culture,Easy,Simulation,Who were key figures in Indus Valley Civilization? (ID-60),strategic decision,1,14,Yes,1,Medium
Teen,Intermediate,Roman Empire,Politics,Medium,Quiz,How did Roman Empire influence society? (ID-1452),1945,1,9,Yes,1,Hard
Teen,Advanced,Cold War,Politics,Medium,Challenge,When did Cold War begin? (ID-758),historical explanation,1,40,Yes,1,Hard
Child,Advanced,World War II,War,Medium,Simulation,What role did leadership play in World War II? (ID-83),strategic decision,1,28,No,1,Hard
Child,Intermediate,Roman Empire,Politics,Easy,Simulation,What role did leadership play in Roman Empire? (ID-1061),strategic decision,1,11,Yes,2,Medium
Adult,Advanced,Cold War,Politics,Hard,Simulation,What caused Cold War? (ID-562),strategic decision,1,29,No,3,Hard
Child,Beginner,American Revolution,Revolution,Hard,Simulation,What was the outcome of American Revolution? (ID-355),strategic decision,0,36,No,3,Medium
Child,Advanced,French Revolution,Revolution,Hard,Quiz,Explain the impact of French Revolution (ID-1167),1939,1,24,Yes,2,Hard
Teen,Beginner,Cold War,Politics,Medium,Quiz,What caused Cold War? (ID-1449),1939,0,22,No,3,Easy
Child,Advanced,World War II,War,Hard,Quiz,Describe key events of World War II (ID-964),1945,1,7,No,1,Hard
Child,Beginner,American Revolution,Revolution,Hard,Challenge,Explain the impact of American Revolution (ID-5),historical explanation,0,26,No,3,Medium
Adult,Advanced,World War I,War,Medium,Challenge,What was the outcome of World War I? (ID-369),historical explanation,1,38,No,1,Hard
Adult,Beginner,Cold War,Politics,Hard,Simulation,What were the consequences of Cold War? (ID-496),strategic decision,0,17,Yes,1,Medium
Adult,Beginner,American Revolution,Revolution,Easy,Simulation,Who were key figures in American Revolution? (ID-1293),strategic decision,1,7,No,1,Medium
Adult,Intermediate,French Revolution,Revolution,Easy,Challenge,Why is French Revolution important? (ID-1433),historical explanation,1,12,No,1,Medium
Child,Beginner,World War I,War,Hard,Quiz,What was the outcome of World War I? (ID-623),1945,1,35,Yes,3,Hard
Teen,Beginner,French Revolution,Revolution,Easy,Simulation,What was the outcome of French Revolution? (ID-132),strategic decision,1,17,No,3,Medium
Adult,Intermediate,World War I,War,Medium,Quiz,Describe key events of World War I (ID-449),1789,1,25,No,1,Hard
Teen,Advanced,French Revolution,Revolution,Easy,Quiz,When did French Revolution begin? (ID-159),1789,1,33,Yes,1,Medium
Adult,Intermediate,World War II,War,Medium,Quiz,What role did leadership play in World War II? (ID-83),1914,0,26,Yes,3,Easy
Teen,Intermediate,Industrial Revolution,Culture,Easy,Simulation,When did Industrial Revolution begin? (ID-578),strategic decision,0,7,Yes,1,Easy
Child,Advanced,Cold War,Politics,Medium,Simulation,What were the consequences of Cold War? (ID-22),strategic decision,0,7,No,2,Easy
Child,Advanced,Industrial Revolution,Culture,Easy,Quiz,Why is Industrial Revolution important? (ID-117),1914,1,6,No,3,Medium
Teen,Advanced,French Revolution,Revolution,Hard,Challenge,What role did leadership play in French Revolution? (ID-161),historical explanation,0,21,No,1,Medium
Teen,Advanced,French Revolution,Revolution,Easy,Simulation,Describe key events of French Revolution (ID-1030),strategic decision,1,28,Yes,3,Medium
Child,Advanced,World War I,War,Easy,Challenge,Who were key figures in World War I? (ID-327),historical explanation,1,36,Yes,2,Medium
Teen,Intermediate,Industrial Revolution,Culture,Hard,Simulation,What role did leadership play in Industrial Revolution? (ID-85),strategic decision,1,17,Yes,3,Hard
Adult,Beginner,Roman Empire,Politics,Medium,Quiz,What were the consequences of Roman Empire? (ID-158),1789,1,30,No,2,Hard
Adult,Intermediate,French Revolution,Revolution,Medium,Simulation,Explain the impact of French Revolution (ID-1167),strategic decision,1,16,Yes,1,Hard
Adult,Intermediate,Cold War,Politics,Hard,Challenge,Explain the impact of Cold War (ID-1373),historical explanation,1,5,No,3,Hard
Teen,Advanced,Ancient Egypt,Culture,Hard,Quiz,What role did leadership play in Ancient Egypt? (ID-969),1776,1,30,Yes,1,Hard
Teen,Intermediate,Cold War,Politics,Hard,Quiz,Explain the impact of Cold War (ID-1373),1776,1,38,Yes,2,Hard
Adult,Beginner,Cold War,Politics,Hard,Simulation,Explain the impact of Cold War (ID-29),strategic decision,0,19,Yes,3,Medium
Child,Intermediate,World War I,War,Hard,Simulation,What role did leadership play in World War I? (ID-1380),strategic decision,0,21,Yes,1,Medium
Child,Advanced,World War II,War,Easy,Quiz,How did World War II influence society? (ID-921),1914,1,39,No,3,Medium
Child,Intermediate,Ancient Egypt,Culture,Easy,Quiz,How did Ancient Egypt influence society? (ID-498),1914,1,6,Yes,3,Medium
Child,Beginner,Cold War,Politics,Medium,Challenge,How did Cold War influence society? (ID-1056),historical explanation,1,13,No,2,Hard
Adult,Advanced,World War I,War,Medium,Challenge,What were the consequences of World War I? (ID-890),historical explanation,1,23,Yes,3,Hard
Teen,Advanced,American Revolution,Revolution,Easy,Simulation,When did American Revolution begin? (ID-732),strategic decision,1,9,Yes,3,Medium
Adult,Intermediate,French Revolution,Revolution,Hard,Quiz,What were the consequences of French Revolution? (ID-1329),1939,1,37,Yes,2,Hard
Teen,Advanced,Industrial Revolution,Culture,Hard,Quiz,How did Industrial Revolution influence society? (ID-249),1776,1,24,Yes,3,Hard
Adult,Beginner,Industrial Revolution,Culture,Medium,Challenge,Explain the impact of Industrial Revolution (ID-391),historical explanation,1,35,No,2,Hard
Child,Beginner,Industrial Revolution,Culture,Medium,Quiz,What caused Industrial Revolution? (ID-195),1789,0,7,No,1,Easy
Child,Advanced,Cold War,Politics,Medium,Simulation,What was the outcome of Cold War? (ID-651),strategic decision,1,24,No,3,Hard
Teen,Intermediate,Roman Empire,Politics,Hard,Challenge,How did Roman Empire influence society? (ID-381),historical explanation,0,19,No,1,Medium
Adult,Beginner,Industrial Revolution,Culture,Medium,Simulation,Who were key figures in Industrial Revolution? (ID-21),strategic decision,1,15,Yes,3,Hard
Teen,Beginner,Industrial Revolution,Culture,Easy,Challenge,How did Industrial Revolution influence society? (ID-342),historical explanation,1,13,No,3,Medium
Child,Intermediate,World War II,War,Easy,Challenge,What caused World War II? (ID-111),historical explanation,1,28,Yes,3,Medium
Child,Intermediate,Ancient Egypt,Culture,Hard,Quiz,When did Ancient Egypt begin? (ID-134),1914,1,13,No,2,Hard
Teen,Beginner,World War II,War,Medium,Simulation,What role did leadership play in World War II? (ID-1425),strategic decision,1,24,No,2,Hard
Teen,Beginner,Cold War,Politics,Easy,Challenge,Explain the impact of Cold War (ID-1228),historical explanation,0,15,No,1,Easy
Child,Intermediate,French Revolution,Revolution,Hard,Quiz,Describe key events of French Revolution (ID-10),1789,0,30,No,1,Medium
Child,Intermediate,Cold War,Politics,Hard,Challenge,What was the outcome of Cold War? (ID-916),historical explanation,0,8,No,1,Medium
Adult,Beginner,Industrial Revolution,Culture,Hard,Quiz,Who were key figures in Industrial Revolution? (ID-480),1945,0,15,No,2,Medium
Adult,Intermediate,Cold War,Politics,Easy,Challenge,Who were key figures in Cold War? (ID-896),historical explanation,0,35,Yes,3,Easy
Teen,Intermediate,World War II,War,Medium,Simulation,What was the outcome of World War II? (ID-762),strategic decision,0,40,Yes,3,Easy
Adult,Intermediate,Roman Empire,Politics,Easy,Challenge,What was the outcome of Roman Empire? (ID-234),historical explanation,1,8,No,3,Medium
Child,Intermediate,Industrial Revolution,Culture,Hard,Simulation,Why is Industrial Revolution important? (ID-1225),strategic decision,0,17,No,2,Medium
Child,Advanced,World War I,War,Easy,Quiz,Who were key figures in World War I? (ID-38),1945,1,10,No,2,Medium
Adult,Beginner,American Revolution,Revolution,Hard,Quiz,What caused American Revolution? (ID-1422),1776,0,39,No,1,Medium
Child,Beginner,World War I,War,Medium,Quiz,Who were key figures in World War I? (ID-165),1945,0,35,Yes,1,Easy
Adult,Beginner,Indus Valley Civilization,Culture,Medium,Simulation,Describe key events of Indus Valley Civilization (ID-296),strategic decision,0,30,No,1,Easy
Child,Intermediate,French Revolution,Revolution,Easy,Quiz,Why is French Revolution important? (ID-1433),1776,1,12,No,3,Medium
Adult,Intermediate,American Revolution,Revolution,Medium,Challenge,What was the outcome of American Revolution? (ID-943),historical explanation,1,38,Yes,2,Hard
Adult,Intermediate,American Revolution,Revolution,Hard,Challenge,How did American Revolution influence society? (ID-208),historical explanation,0,10,Yes,2,Medium
Teen,Intermediate,American Revolution,Revolution,Hard,Simulation,Explain the impact of American Revolution (ID-1268),strategic decision,1,14,Yes,2,Hard
Child,Advanced,Roman Empire,Politics,Medium,Simulation,When did Roman Empire begin? (ID-1212),strategic decision,1,37,Yes,2,Hard
Child,Intermediate,Roman Empire,Politics,Easy,Simulation,What was the outcome of Roman Empire? (ID-1442),strategic decision,0,36,Yes,2,Easy
Teen,Advanced,Ancient Egypt,Culture,Medium,Quiz,Who were key figures in Ancient Egypt? (ID-1355),1776,1,14,Yes,3,Hard
Teen,Beginner,Indus Valley Civilization,Culture,Hard,Simulation,What caused Indus Valley Civilization? (ID-1499),strategic decision,0,32,No,1,Medium
Teen,Intermediate,Roman Empire,Politics,Hard,Quiz,Explain the impact of Roman Empire (ID-240),1789,1,29,No,3,Hard
Teen,Advanced,Industrial Revolution,Culture,Easy,Simulation,How did Industrial Revolution influence society? (ID-192),strategic decision,1,5,Yes,3,Medium
Teen,Beginner,Industrial Revolution,Culture,Hard,Quiz,What caused Industrial Revolution? (ID-971),1914,0,31,Yes,3,Medium
Teen,Intermediate,French Revolution,Revolution,Hard,Simulation,Explain the impact of French Revolution (ID-390),strategic decision,1,10,Yes,1,Hard
Child,Advanced,Ancient Egypt,Culture,Easy,Challenge,Who were key figures in Ancient Egypt? (ID-149),historical explanation,1,37,No,1,Medium
Adult,Advanced,French Revolution,Revolution,Hard,Simulation,Explain the impact of French Revolution (ID-941),strategic decision,0,8,Yes,1,Medium
Teen,Advanced,Indus Valley Civilization,Culture,Hard,Simulation,How did Indus Valley Civilization influence society? (ID-1402),strategic decision,0,20,No,2,Medium
Adult,Advanced,World War I,War,Easy,Simulation,Describe key events of World War I (ID-460),strategic decision,1,39,No,1,Medium
Adult,Intermediate,Roman Empire,Politics,Medium,Simulation,How did Roman Empire influence society? (ID-697),strategic decision,1,29,No,2,Hard
Teen,Advanced,Cold War,Politics,Easy,Simulation,When did Cold War begin? (ID-1275),strategic decision,1,23,No,3,Medium
Adult,Intermediate,American Revolution,Revolution,Hard,Challenge,What was the outcome of American Revolution? (ID-80),historical explanation,1,21,No,2,Hard
Adult,Beginner,Indus Valley Civilization,Culture,Easy,Challenge,Describe key events of Indus Valley Civilization (ID-1426),historical explanation,1,19,Yes,1,Medium
Child,Beginner,Ancient Egypt,Culture,Easy,Simulation,How did Ancient Egypt influence society? (ID-498),strategic decision,0,23,Yes,2,Easy
Adult,Advanced,American Revolution,Revolution,Easy,Quiz,What role did leadership play in American Revolution? (ID-675),1939,1,37,Yes,2,Medium
Adult,Intermediate,World War I,War,Hard,Simulation,Who were key figures in World War I? (ID-96),strategic decision,1,27,Yes,3,Hard
Child,Advanced,Roman Empire,Politics,Hard,Simulation,Explain the impact of Roman Empire (ID-2),strategic decision,1,21,No,2,Hard
Adult,Intermediate,French Revolution,Revolution,Hard,Quiz,What role did leadership play in French Revolution? (ID-720),1939,0,37,No,3,Medium
Teen,Advanced,Ancient Egypt,Culture,Medium,Simulation,Describe key events of Ancient Egypt (ID-1468),strategic decision,1,30,No,2,Hard
Teen,Intermediate,World War I,War,Hard,Quiz,What were the consequences of World War I? (ID-1102),1789,0,32,No,2,Medium
Adult,Intermediate,Industrial Revolution,Culture,Medium,Quiz,What were the consequences of Industrial Revolution? (ID-1031),1914,1,36,Yes,2,Hard
Child,Intermediate,Indus Valley Civilization,Culture,Hard,Simulation,What were the consequences of Indus Valley Civilization? (ID-466),strategic decision,1,23,Yes,3,Hard
Teen,Beginner,Indus Valley Civilization,Culture,Hard,Challenge,Why is Indus Valley Civilization important? (ID-1317),historical explanation,0,18,Yes,2,Medium
Child,Advanced,World War I,War,Easy,Quiz,When did World War I begin? (ID-1367),1945,1,17,No,2,Medium
Adult,Beginner,Ancient Egypt,Culture,Easy,Simulation,What were the consequences of Ancient Egypt? (ID-1424),strategic decision,0,8,No,2,Easy
Adult,Intermediate,Ancient Egypt,Culture,Hard,Simulation,What caused Ancient Egypt? (ID-546),strategic decision,1,18,Yes,2,Hard
Teen,Advanced,World War I,War,Hard,Challenge,What caused World War I? (ID-451),historical explanation,0,7,No,3,Medium
Child,Advanced,French Revolution,Revolution,Medium,Simulation,What role did leadership play in French Revolution? (ID-1093),strategic decision,1,38,No,1,Hard
Adult,Intermediate,Cold War,Politics,Easy,Simulation,Why is Cold War important? (ID-513),strategic decision,1,36,No,2,Medium
Child,Beginner,American Revolution,Revolution,Medium,Quiz,Who were key figures in American Revolution? (ID-202),1789,1,16,No,1,Hard
Child,Intermediate,Roman Empire,Politics,Medium,Quiz,What was the outcome of Roman Empire? (ID-694),1945,0,35,No,3,Easy
Teen,Advanced,American Revolution,Revolution,Hard,Challenge,What role did leadership play in American Revolution? (ID-900),historical explanation,0,10,No,1,Medium
Adult,Beginner,World War I,War,Hard,Simulation,Why is World War I important? (ID-1091),strategic decision,0,33,Yes,1,Medium
Teen,Advanced,Industrial Revolution,Culture,Easy,Simulation,What was the outcome of Industrial Revolution? (ID-947),strategic decision,1,16,No,1,Medium
Child,Beginner,French Revolution,Revolution,Medium,Challenge,Who were key figures in French Revolution? (ID-1070),historical explanation,1,14,Yes,2,Hard
Adult,Beginner,American Revolution,Revolution,Medium,Quiz,Why is American Revolution important? (ID-1043),1789,1,5,Yes,1,Hard
Adult,Advanced,Roman Empire,Politics,Easy,Simulation,What was the outcome of Roman Empire? (ID-72),strategic decision,1,32,No,2,Medium
Teen,Intermediate,Roman Empire,Politics,Easy,Challenge,What role did leadership play in Roman Empire? (ID-794),historical explanation,0,30,Yes,1,Easy
Child,Intermediate,Industrial Revolution,Culture,Hard,Challenge,Who were key figures in Industrial Revolution? (ID-820),historical explanation,0,35,Yes,3,Medium
Teen,Beginner,Ancient Egypt,Culture,Easy,Simulation,What role did leadership play in Ancient Egypt? (ID-224),strategic decision,1,5,Yes,1,Medium
Child,Advanced,Roman Empire,Politics,Medium,Simulation,What caused Roman Empire? (ID-425),strategic decision,1,40,No,2,Hard
Adult,Intermediate,Cold War,Politics,Easy,Challenge,What caused Cold War? (ID-1449),historical explanation,1,5,Yes,3,Medium
Teen,Beginner,American Revolution,Revolution,Medium,Quiz,Explain the impact of American Revolution (ID-250),1914,1,21,Yes,3,Hard
Teen,Beginner,World War I,War,Easy,Challenge,What were the consequences of World War I? (ID-1460),historical explanation,1,40,Yes,3,Medium
Adult,Beginner,French Revolution,Revolution,Easy,Challenge,How did French Revolution influence society? (ID-199),historical explanation,1,35,Yes,2,Medium
Child,Advanced,American Revolution,Revolution,Medium,Challenge,What role did leadership play in American Revolution? (ID-664),historical explanation,1,33,Yes,2,Hard
Adult,Intermediate,World War I,War,Medium,Simulation,What caused World War I? (ID-902),strategic decision,1,21,Yes,2,Hard
Adult,Intermediate,Cold War,Politics,Easy,Quiz,What were the consequences of Cold War? (ID-22),1914,0,22,Yes,3,Easy
Child,Intermediate,Industrial Revolution,Culture,Hard,Quiz,What caused Industrial Revolution? (ID-1333),1939,1,38,Yes,1,Hard
Adult,Beginner,World War II,War,Medium,Simulation,What role did leadership play in World War II? (ID-863),strategic decision,1,22,Yes,1,Hard
Teen,Beginner,Industrial Revolution,Culture,Easy,Challenge,What were the consequences of Industrial Revolution? (ID-899),historical explanation,1,34,No,1,Medium
Teen,Advanced,Roman Empire,Politics,Easy,Simulation,When did Roman Empire begin? (ID-353),strategic decision,1,8,No,2,Medium
Adult,Beginner,Industrial Revolution,Culture,Easy,Challenge,Why is Industrial Revolution important? (ID-1257),historical explanation,1,39,Yes,2,Medium
Child,Advanced,World War I,War,Hard,Quiz,What role did leadership play in World War I? (ID-913),1789,1,28,No,2,Hard
Child,Beginner,French Revolution,Revolution,Easy,Quiz,When did French Revolution begin? (ID-714),1945,1,35,No,1,Medium
Teen,Advanced,World War I,War,Medium,Simulation,How did World War I influence society? (ID-1217),strategic decision,1,23,Yes,3,Hard
Child,Intermediate,World War I,War,Hard,Simulation,Who were key figures in World War I? (ID-792),strategic decision,1,6,Yes,3,Hard
Child,Advanced,American Revolution,Revolution,Medium,Quiz,What role did leadership play in American Revolution? (ID-1246),1939,1,39,No,1,Hard
Adult,Intermediate,Roman Empire,Politics,Medium,Challenge,What was the outcome of Roman Empire? (ID-338),historical explanation,1,27,No,2,Hard
Adult,Beginner,American Revolution,Revolution,Hard,Simulation,What role did leadership play in American Revolution? (ID-900),strategic decision,0,16,No,2,Medium
Adult,Intermediate,Indus Valley Civilization,Culture,Hard,Quiz,What was the outcome of Indus Valley Civilization? (ID-28),1789,1,22,Yes,1,Hard
Teen,Advanced,French Revolution,Revolution,Hard,Simulation,Why is French Revolution important? (ID-1066),strategic decision,1,5,No,3,Hard
Adult,Beginner,French Revolution,Revolution,Hard,Simulation,Describe key events of French Revolution (ID-626),strategic decision,1,32,Yes,2,Hard
Teen,Intermediate,World War II,War,Easy,Quiz,Why is World War II important? (ID-1208),1939,1,25,No,1,Medium
Teen,Beginner,World War II,War,Easy,Challenge,How did World War II influence society? (ID-1298),historical explanation,1,30,Yes,3,Medium
Adult,Beginner,Indus Valley Civilization,Culture,Easy,Challenge,Explain the impact of Indus Valley Civilization (ID-734),historical explanation,1,17,Yes,3,Medium
Adult,Intermediate,Roman Empire,Politics,Hard,Simulation,What caused Roman Empire? (ID-118),strategic decision,0,31,No,1,Medium
Adult,Beginner,World War I,War,Medium,Quiz,What caused World War I? (ID-403),1914,0,33,No,2,Easy
Teen,Beginner,World War II,War,Medium,Challenge,Who were key figures in World War II? (ID-1106),historical explanation,1,12,Yes,1,Hard
Child,Advanced,Cold War,Politics,Medium,Simulation,When did Cold War begin? (ID-1314),strategic decision,0,6,No,2,Easy
Child,Advanced,American Revolution,Revolution,Hard,Simulation,When did American Revolution begin? (ID-1181),strategic decision,1,26,No,2,Hard
Adult,Intermediate,Indus Valley Civilization,Culture,Easy,Challenge,How did Indus Valley Civilization influence society? (ID-1241),historical explanation,1,32,No,2,Medium
Teen,Beginner,American Revolution,Revolution,Easy,Simulation,Explain the impact of American Revolution (ID-1356),strategic decision,1,8,No,3,Medium
Child,Advanced,French Revolution,Revolution,Hard,Challenge,What role did leadership play in French Revolution? (ID-1067),historical explanation,1,11,Yes,3,Hard
Child,Advanced,Cold War,Politics,Hard,Simulation,What caused Cold War? (ID-1280),strategic decision,1,9,No,1,Hard
Child,Intermediate,Ancient Egypt,Culture,Hard,Simulation,What were the consequences of Ancient Egypt? (ID-1424),strategic decision,0,22,No,1,Medium
Teen,Advanced,Indus Valley Civilization,Culture,Medium,Challenge,How did Indus Valley Civilization influence society? (ID-7),historical explanation,1,40,No,3,Hard
Adult,Intermediate,Roman Empire,Politics,Hard,Quiz,Who were key figures in Roman Empire? (ID-1323),1939,1,18,No,2,Hard
Child,Advanced,World War I,War,Medium,Simulation,Why is World War I important? (ID-864),strategic decision,1,32,No,3,Hard
Teen,Advanced,World War I,War,Easy,Challenge,How did World War I influence society? (ID-1375),historical explanation,0,22,No,1,Easy
Adult,Intermediate,World War I,War,Medium,Challenge,Describe key events of World War I (ID-1101),historical explanation,1,29,Yes,3,Hard
Teen,Intermediate,French Revolution,Revolution,Easy,Challenge,What was the outcome of French Revolution? (ID-866),historical explanation,1,23,No,1,Medium
Teen,Beginner,Cold War,Politics,Easy,Quiz,What role did leadership play in Cold War? (ID-290),1939,1,5,Yes,2,Medium
